id 	 symbal	     lable	     description
6602 	 /m/03tps5 	 Meet the Fockers	 2004 film by Jay Roach 
6603 	 /m/03ts0c 	 French people	 nation and ethnic group who are identified with the country of France 
6604 	 /m/03ttfc 	 Spaniards	 people native to any part of Spain or that hold Spanish citizenship 
6605 	 /m/03ttn0 	 Iowa Hawkeyes football	 football team of the University of Iowa 
6606 	 /m/03tw2s 	 University of South Carolina	 university in Columbia, SC 
6607 	 /m/03twd6 	 The Bourne Identity	 2002 action film directed by Doug Liman 
6608 	 /m/03txms 	 Donald M. Payne	 American politician 
6609 	 /m/03v0t 	 Illinois	 state of the United States of America 
6610 	 /m/03v0vd 	 Adam Arkin	 American television, film and stage actor and director 
6611 	 /m/03v1jf 	 January Jones	 American actress 
6612 	 /m/03v1s 	 Indiana	 state of the United States of America 
6613 	 /m/03v1w7 	 Richard D. Zanuck	 American film producer 
6614 	 /m/03v1xb 	 David Brown	 American film and theatre producer, and writer 
6615 	 /m/03v36 	 Iain Banks	 Scottish writer 
6616 	 /m/03v3xp 	 Clive Owen	 British actor 
6617 	 /m/03v40v 	 Bill Melendez	 Mexican-American animator, film director, film producer 
6618 	 /m/03v52f 	 General Growth Properties	 American real estate investment trust 
6619 	 /m/03v6t 	 Iowa State University	 public research university in Ames, Iowa, United States 
6620 	 /m/03v9w 	 Iberian Peninsula	 peninsula located in the extreme southwest of Europe 
6621 	 /m/03v9yw 	 FC Dinamo Moscow	 Russian association football club based in Moscow 
6622 	 /m/03v_5 	 Ithaca	 city in New York, USA 
6623 	 /m/03vfr_ 	 The SpongeBob SquarePants Movie	 2004 American animated comedy film 
6624 	 /m/03vgp7 	 Miguel Ferrer	 American actor 
6625 	 /m/03vhvp 	 The Black Keys	 American rock band 
6626 	 /m/03vpf_ 	 Kenneth Mars	 American actor 
6627 	 /m/03vrnh 	 Sunny Deol	 Indian actor 
6628 	 /m/03vrp 	 Italo Calvino	 Italian journalist and writer of short stories and novels 
6629 	 /m/03vrv9 	 Fred Williamson	 American football player and actor 
6630 	 /m/03vtbc 	 silver	 metallic color tone resembling gray that is a representation of the color of polished silver 
6631 	 /m/03vtfp 	 V2 Records	 British record label 
6632 	 /m/03vtrv 	 Vertigo Records	 British record label 
6633 	 /m/03vv61 	 Vanguard Records	 None 
6634 	 /m/03vw9m 	 modern rock	 umbrella term describing rock made from the 1990s to present day; radio format 
6635 	 /m/03vyh 	 instrumental music	 music without spoken or sung language 
6636 	 /m/03vyw8 	 Mrs. Parker and the Vicious Circle	 1994 film by Alan Rudolph 
6637 	 /m/03w1lf 	 Film and Television Institute of India	 film school 
6638 	 /m/03w1v2 	 Michael Pitt	 American actor, model and musician 
6639 	 /m/03w4sh 	 Neal McDonough	 actor 
6640 	 /m/03w5xm 	 customer service	 provision of service to customers 
6641 	 /m/03w6sj 	 Western Desert Campaign	 one of two major stages of the North African Campaign during WWII 
6642 	 /m/03w7kx 	 Olympique Lyonnais	 French association football club based in Lyon 
6643 	 /m/03w94xt 	 avant-garde music	 music genre 
6644 	 /m/03w9bjf 	 British Indian	 British citizens with Indian ancestry 
6645 	 /m/03w9sgh 	 James D. Parriott	 American film director 
6646 	 /m/03wbqc4 	 The Taking of Pelham 123	 2009 film by Tony Scott 
6647 	 /m/03wbzp 	 John Wells	 American theater, film and television producer, writer and director 
6648 	 /m/03wd5tk 	 Richard Sylbert	 American art director 
6649 	 /m/03wdsbz 	 Paul Sylbert	 American art director 
6650 	 /m/03wf1p2 	 2000 Cannes Film Festival	 None 
6651 	 /m/03wh49y 	 Terry Pratchett's The Colour of Magic	 2008 English fantasy movie 
6652 	 /m/03wh8kl 	 Peter Casey	 American screenwriter 
6653 	 /m/03wh8pq 	 David Lee	 screenwriter, director and television producer from the United States 
6654 	 /m/03wh95l 	 Peter Tolan	 American television director 
6655 	 /m/03whyr 	 John Carter	 2012 American science fiction adventure film 
6656 	 /m/03wj4r8 	 Cadillac Records	 musical biopic in 2008 
6657 	 /m/03wjb7 	 Robyn Hitchcock	 singer, songwriter, and guitarist from Britain 
6658 	 /m/03wjm2 	 The Hitchhiker's Guide to the Galaxy	 2005 British-American comic science fiction film 
6659 	 /m/03wkwg 	 cardinal	 color (vivid red) 
6660 	 /m/03wnh 	 Indianapolis Colts	 National Football League franchise in Indianapolis, Indiana 
6661 	 /m/03wpmd 	 Karan Johar	 Indian film director, producer, screenwriter and television host 
6662 	 /m/03wv2g 	 Mercer University	 None 
6663 	 /m/03ww_x 	 96th United States Congress	 None 
6664 	 /m/03wxvk 	 Province of Como	 province of Italy 
6665 	 /m/03wy70 	 Clancy Brown	 American actor and voice actor 
6666 	 /m/03wy8t 	 New York Stories	 1989 film by Woody Allen, Martin Scorsese, Francis Ford Coppola 
6667 	 /m/03x16f 	 Dana Delany	 actress 
6668 	 /m/03x1s8 	 Alabama State University	 university 
6669 	 /m/03x1x 	 Iroquois	 northeast Native American people 
6670 	 /m/03x22w 	 Emilie de Ravin	 Australian actress 
6671 	 /m/03x23q 	 Grambling State University	 historically black university in Louisiana 
6672 	 /m/03x2qp 	 Texas blues	 music genre 
6673 	 /m/03x31g 	 Tabu	 Indian actress 
6674 	 /m/03x33n 	 Southern University	 college located in Baton Rouge, Louisiana 
6675 	 /m/03x3l 	 Isle of Wight	 county and island of England 
6676 	 /m/03x3qv 	 Joshua Malina	 American actor 
6677 	 /m/03x3wf 	 Grammy Lifetime Achievement Award	 music award given to individual performers or groups 
6678 	 /m/03x400 	 Peter Sarsgaard	 American actor 
6679 	 /m/03x42 	 Irish	 language spoken in Ireland 
6680 	 /m/03x45p 	 Dnipro	 city in Dnipropetrovsk Oblast, Ukraine 
6681 	 /m/03x6m 	 Inter Milan	 Football Club Internazionale Milano S.p.A. 
6682 	 /m/03x6rj 	 A.E.K. Athens F.C.	 association football club in Greece 
6683 	 /m/03x6w8 	 S.C. Braga	 association football team from Braga,Portugal 
6684 	 /m/03x6xl 	 Panionios F.C.	 association football club in Greece 
6685 	 /m/03x726 	 C.D. Nacional	 association football club in Funchal, Madeira, Portugal 
6686 	 /m/03x73c 	 A.J. Auxerre	 French association football club 
6687 	 /m/03x746 	 Lille O.S.C.	 Lille Olympic Sporting Club - French association football club 
6688 	 /m/03x762 	 Alemannia Aachen	 German sports club 
6689 	 /m/03x7hd 	 Ratatouille	 2007 American animated film directed by Brad Bird and produced by Pixar Animation Studios 
6690 	 /m/03x82v 	 Juanes	 Colombian musician and singer 
6691 	 /m/03x83_ 	 Government College University	 public university 
6692 	 /m/03x8cz 	 Fueled By Ramen	 American record label 
6693 	 /m/03x9yr 	 Beggars Banquet Records	 British independent record label 
6694 	 /m/03x_k5m 	 Anchor Bay Entertainment	 American home entertainment and production company 
6695 	 /m/03xb2w 	 Kevin James	 actor/Comedian 
6696 	 /m/03xds 	 I. M. Pei	 Chinese American architect 
6697 	 /m/03xf_m 	 Ray	 2004 biographical film 
6698 	 /m/03xgm3 	 Chris Botti	 musician 
6699 	 /m/03xh50 	 Japan national football team	 men's national association football team representing Japan 
6700 	 /m/03xhj6 	 Sparks	 American rock and pop band 
6701 	 /m/03xj05 	 Downfall	 2004 drama movie on the last days of Hitler 
6702 	 /m/03xk1_ 	 Joss Ackland	 British actor 
6703 	 /m/03xkps 	 Beau Bridges	 actor and director from the United States 
6704 	 /m/03xks 	 insurance	 equitable transfer of the risk of a loss, from one entity to another in exchange for payment 
6705 	 /m/03xl77 	 Travis Barker	 American drummer and music producer 
6706 	 /m/03xmy1 	 Brigitte Nielsen	 Danish actor, model and musician 
6707 	 /m/03xn3s2 	 Marcia Wallace	 American actress 
6708 	 /m/03xnq9_ 	 Emily Osment	 American actress 
6709 	 /m/03xnwz 	 indie pop	 genre of alternative pop music 
6710 	 /m/03xp8d5 	 James L. Brooks	 American director, producer and screenwriter 
6711 	 /m/03xpf_7 	 Al Jean	 American writer and producer 
6712 	 /m/03xpfzg 	 Matt Selman	 American writer and producer 
6713 	 /m/03xpsrx 	 John Corbett	 born 1961; American actor and country music singer 
6714 	 /m/03xpx0 	 Miami metropolitan area	 most populous metropolitan area in the U.S. state of Florida 
6715 	 /m/03xq0f 	 FilmFlex	 None 
6716 	 /m/03xsby 	 Lions Gate Entertainment	 Canadian–American entertainment company 
6717 	 /m/03xx3m 	 Robert Ryan	 actor 
6718 	 /m/03xx9l 	 David Alan Grier	 American actor and comedian 
6719 	 /m/03xyp_ 	 Daniel Nestor	 Canadian tennis player 
6720 	 /m/03xzxb 	 PFC CSKA  Sofia	 Bulgarian association football club from the capital city of Sofia 
6721 	 /m/03y0pn 	 Pirates of the Caribbean: Dead Man's Chest	 2006 fantasy adventure movie 
6722 	 /m/03y1mlp 	 Lindy Hemming	 Welsh costume designer 
6723 	 /m/03y2kr 	 Samuel Z. Arkoff	 American producer of B movies 
6724 	 /m/03y317 	 One Tree Hill	 American television drama series 
6725 	 /m/03y3bp7 	 The Cleveland Show	 American animated sitcom, spin-off of Family Guy 
6726 	 /m/03y3dk 	 Carlo Ponti, Sr.	 Italian film producer 
6727 	 /m/03y5g8 	 Deram Records	 british music label 
6728 	 /m/03y5ky 	 Valparaiso University	 Lutheran university in Indiana 
6729 	 /m/03y7ml 	 The McClatchy Company	 None 
6730 	 /m/03y82t6 	 Katy Perry	 American singer, songwriter and actress 
6731 	 /m/03y8cbv 	 Independent Spirit Award for Best Documentary Feature	 None 
6732 	 /m/03y9ccy 	 Vince Gilligan	 American writer, director and producer 
6733 	 /m/03y9p40 	 Oklahoma Sooners men's basketball	 men's basketball team of the University of Oklahoma 
6734 	 /m/03y_46 	 Mark Williams	 English actor, comedian, screenwriter and presenter 
6735 	 /m/03y_f8 	 Serbia national football team	 men's national association football team representing Serbia 
6736 	 /m/03ybrwc 	 Sutherland Trophy	 None 
6737 	 /m/03ydlnj 	 The Boat That Rocked	 2009 film by Richard Curtis 
6738 	 /m/03ydry 	 Ayako Kawasumi	 voice actress and j-pop singer 
6739 	 /m/03yf3z 	 Trisha Yearwood	 American country singer 
6740 	 /m/03yf4d 	 Butch Hartman	 American actor, animator and producer 
6741 	 /m/03yf5g 	 Carlos Ruiz	 professional soccer player 
6742 	 /m/03yfh3 	 Stade Rennais F.C.	 French association football club 
6743 	 /m/03yhgp 	 Weymouth F.C.	 association football club 
6744 	 /m/03yj_0n 	 Shea Whigham	 American actor 
6745 	 /m/03yk8z 	 Jennifer Ehle	 American actress 
6746 	 /m/03ykjs9 	 Comedy	 Performing arts consisting of jokes intended to make an audience laugh. 
6747 	 /m/03yl2t 	 Cameroon national football team	 men's national association football team representing Cameroon 
6748 	 /m/03ylxn 	 Nigeria national football team	 men's national association football team representing Nigeria 
6749 	 /m/03ym1 	 Ian McKellen	 British actor 
6750 	 /m/03ym73 	 Estonia national football team	 men's national association football team representing Estonia 
6751 	 /m/03ynwqj 	 I Love You, Man	 2009 film by John Hamburg 
6752 	 /m/03yrkt 	 Brittany Snow	 American actress 
6753 	 /m/03ys2f 	 Peter Farrelly	 American film director, producer and screenwriter 
6754 	 /m/03ys48 	 Slovenia national football team	 men's national association football team representing Slovenia 
6755 	 /m/03ysmg 	 Bobby Farrelly	 American film producer 
6756 	 /m/03ytc 	 information technology	 development, management, and use of computer-based information systems 
6757 	 /m/03ytj1 	 Georgia national football team	 men's national association football team representing Georgia 
6758 	 /m/03ytp3 	 Ukraine national football team	 men's national association football team representing Ukraine 
6759 	 /m/03yvf2 	 Fight Club	 1999 American film 
6760 	 /m/03yvgp 	 Malta national football team	 men's national association football team representing Malta 
6761 	 /m/03yvln 	 Belarus national football team	 men's national association football team representing Belarus 
6762 	 /m/03ywyk 	 Cheryl Hines	 actress, director 
6763 	 /m/03yxwq 	 Warner Bros. Animation	 animation division of Warner Bros. Television Group 
6764 	 /m/03z0dt 	 Moldova national football team	 men's national association football team representing Moldova 
6765 	 /m/03z0l6 	 Nick Broomfield	 British film director 
6766 	 /m/03z106 	 We Were Soldiers	 2002 film by Randall Wallace 
6767 	 /m/03z19 	 Internal Revenue Service	 revenue service of the United States federal government 
6768 	 /m/03z1c5 	 Albania national football team	 men's national association football team representing Albania 
6769 	 /m/03z20c 	 Little Nicky	 2000 film by Steven Brill 
6770 	 /m/03z2rz 	 Kazakhstan national football team	 men's national association football team representing Kazakhstan 
6771 	 /m/03z509 	 Amanda Plummer	 American actress 
6772 	 /m/03z5xd 	 95th United States Congress	 None 
6773 	 /m/03z8bw 	 Honduras national football team	 men's national association football team representing Honduras 
6774 	 /m/03z8w6 	 First War of Indian Independence of 1857	 War for Indian independence by people and states of India against East  India Company and the British Crown 
6775 	 /m/03z9585 	 The Tourist	 2010 romantic comedy thriller 
6776 	 /m/03z_g7 	 Nana Patekar	 Indian actor 
6777 	 /m/03zb6t 	 Costa Rica national football team	 men's national association football team representing Costa Rica 
6778 	 /m/03zbg0 	 Jamaica national football team	 men's national association football team representing Jamaica 
6779 	 /m/03zbws 	 Trinidad and Tobago national football team	 national association football team 
6780 	 /m/03zg2x 	 Hope Davis	 American actress 
6781 	 /m/03zj9 	 Ithaca College	 None 
6782 	 /m/03zj_3 	 Ecuador national football team	 men's national association football team representing Ecuador 
6783 	 /m/03zkr8 	 Venezuela national football team	 men's national association football team representing Venezuela 
6784 	 /m/03zm00 	 El Salvador national football team	 men's national association football team representing El Salvador 
6785 	 /m/03zmc7 	 Senegal national football team	 national association football team 
6786 	 /m/03zqc1 	 Felicity Huffman	 American actress 
6787 	 /m/03zrc_ 	 South Africa national football team	 men's national association football team representing South Africa 
6788 	 /m/03zrhb 	 South Korea national football team	 men's national association football team representing South Korea 
6789 	 /m/03zrp 	 Ira Gershwin	 American lyricist 
6790 	 /m/03zv2t 	 Lund	 urban area in Lund Municipality, Sweden 
6791 	 /m/03zv3n 	 Helsingborg	 urban area in Helsingborg Municipality, Sweden 
6792 	 /m/03zv9 	 Serie A	 professional association football league in Italy 
6793 	 /m/03zw80 	 Dallas Theological Seminary	 seminary in Dallas, Texas 
6794 	 /m/03zyvw 	 Nancy Marchand	 American actress 
6795 	 /m/03zz8b 	 Amanda Seyfried	 American actress and model 
6796 	 /m/0401sg 	 Resident Evil	 2002 action film 
6797 	 /m/04045y 	 National Women's Hall of Fame	 None 
6798 	 /m/0404j37 	 The Hurt Locker	 2008 American war film 
6799 	 /m/0404wqb 	 Ariel Winter	 American actress and singer 
6800 	 /m/0404yzp 	 Syrianska FC	 Association football club in Södertälje, Sweden 
6801 	 /m/0405l 	 Jim Jarmusch	 American film director, screenwriter and actor 
6802 	 /m/040696 	 Anton Yelchin	 American film and television actor 
6803 	 /m/0407f 	 James Brown	 American singer, songwriter, musician, and recording artist 
6804 	 /m/0407yfx 	 Brave	 2012 American computer-animated fantasy film 
6805 	 /m/0407yj_ 	 Cars 2	 2011 American computer-animated action comedy spy film produced by Pixar Animation Studios 
6806 	 /m/04088s0 	 Connecticut Huskies men's basketball	 None 
6807 	 /m/0408m53 	 The House Bunny	 2008 American romantic comedy film 
6808 	 /m/0408np 	 Thomas Jane	 American actor and comic book writer 
6809 	 /m/04093 	 Jules Verne	 French novelist, poet, and playwright 
6810 	 /m/040981l 	 Vincent Piazza	 American actor 
6811 	 /m/0409n0 	 Monarcas Morelia	 Mexican association football club 
6812 	 /m/040_9 	 Joseph Conrad	 Polish-British writer 
6813 	 /m/040_9s0 	 Locus Award for Best Fantasy Novel	 None 
6814 	 /m/040_lv 	 I Heart Huckabees	 2004 film by David O. Russell 
6815 	 /m/040_t 	 John Updike	 American novelist, poet, short story writer, art critic, and literary critic 
6816 	 /m/040b5k 	 House of Flying Daggers	 2004 film by Zhang Yimou 
6817 	 /m/040db 	 Jorge Luis Borges	 Argentine short-story writer, essayist, poet and translator, and a key figure in Spanish language literature 
6818 	 /m/040dv 	 Jane Austen	 English novelist 
6819 	 /m/040fb 	 June	 sixth month in the Julian and Gregorian calendars 
6820 	 /m/040fv 	 July	 seventh month in the Julian and Gregorian calendars 
6821 	 /m/040hg8 	 Province of Brescia	 province of Italy 
6822 	 /m/040j2_ 	 Gary Sheffield	 American professional baseball outfielder 
6823 	 /m/040njc 	 BAFTA Award for Best Film	 award 
6824 	 /m/040nwr 	 Shilpa Shetty	 Indian film actress 
6825 	 /m/040p3y 	 Iraq national football team	 national association football team 
6826 	 /m/040p_q 	 creative writing	 None 
6827 	 /m/040rjq 	 Martin McDonagh	 Irish Turkish film director and playwright 
6828 	 /m/040rmy 	 Bad Education	 2004 Spanish film directed by Pedro Almodóvar 
6829 	 /m/040t74 	 Janel Moloney	 American actress 
6830 	 /m/040v3t 	 World Fantasy Award for Best Short Fiction	 None 
6831 	 /m/040vgd 	 Habsburg Monarchy	 former Central European country (1526-1804) 
6832 	 /m/040vk98 	 Locus Award for Best Science Fiction Novel	 None 
6833 	 /m/040wdl 	 Bobby Deol	 Indian actor 
6834 	 /m/040whs 	 North Korea national football team	 men's national association football team representing North Korea 
6835 	 /m/040z9 	 Jack Lemmon	 American actor 
6836 	 /m/04107 	 John Steinbeck	 American writer 
6837 	 /m/0410cp 	 Annabeth Gish	 American actress 
6838 	 /m/04110b0 	 1954 Major League Baseball season	 None 
6839 	 /m/04110lv 	 81st Academy Awards	 None 
6840 	 /m/04112r 	 C.D. Chivas USA	 American soccer team 
6841 	 /m/0411q 	 John Lee Hooker	 American blues singer-songwriter and guitarist 
6842 	 /m/041288 	 African, Caribbean and Pacific Group of States	 None 
6843 	 /m/0412f5y 	 Kuk Harrell	 American singer 
6844 	 /m/04135 	 Jean Cocteau	 French poet, novelist, dramatist, designer, boxing manager and filmmaker 
6845 	 /m/0413cff 	 Motherland	 2010 film by Owen 'Alik Shahadah 
6846 	 /m/0415ggl 	 Amelia	 2009 film by Mira Nair 
6847 	 /m/0415mzy 	 RedOne	 Swedish songwriter 
6848 	 /m/0415svh 	 Gary Goetzman	 film producer 
6849 	 /m/0415zv 	 Zambia national football team	 national association football team 
6850 	 /m/04165w 	 Finding Neverland	 2004 film by Marc Forster 
6851 	 /m/0416y94 	 Julie & Julia	 2009 film by Nora Ephron 
6852 	 /m/041738 	 alternative dance	 dance music genre 
6853 	 /m/0417z2 	 Mark Mancina	 Hollywood soundtrack composer 
6854 	 /m/04180vy 	 When in Rome	 2010 film by Mark Steven Johnson 
6855 	 /m/0418154 	 66th Golden Globe Awards	 2009 edition of the Golden Globe Awards 
6856 	 /m/0418ft 	 Pam Grier	 actress from the United States 
6857 	 /m/0418wg 	 Ocean's Twelve	 2004 Film directed by Steven Soderbergh 
6858 	 /m/04192r 	 chief marketing officer	 highest ranking executive-level position focusing on marketing 
6859 	 /m/0419kt 	 Speed 2: Cruise Control	 1997 film by Jan de Bont 
6860 	 /m/041_3z 	 Portland metropolitan area	 None 
6861 	 /m/041_y 	 J. D. Salinger	 American writer 
6862 	 /m/041b4j 	 Sylvia Sidney	 1910-1999 American actress 
6863 	 /m/041bnw 	 Nonesuch Records	 American record label, owned by Warner Music Group, and based in New York City 
6864 	 /m/041c4 	 John Cleese	 English comedian and actor 
6865 	 /m/041h0 	 J. R. R. Tolkien	 British philologist and author, creator of classic fantasy works 
6866 	 /m/041jk9 	 Puerto Rico Islanders	 association football club 
6867 	 /m/041jlr 	 Michael Haneke	 Austrian film director and screenwriter 
6868 	 /m/041ly3 	 Curtis Armstrong	 American actor 
6869 	 /m/041mt 	 Jack Kerouac	 American writer 
6870 	 /m/041n28 	 U.D. Leiria	 association football team from Leiria,Portugal 
6871 	 /m/041n43 	 XL Recordings	 record label 
6872 	 /m/041p3y 	 United Artists Records	 American record label 
6873 	 /m/041pnt 	 Sciences Po	 French university based in Paris (legally a grande école) 
6874 	 /m/041r51 	 Monounsaturated fat	 None 
6875 	 /m/041rhq 	 Geoffrey Lewis	 American actor 
6876 	 /m/041rx 	 Jewish people	 nation and an ethnoreligious group 
6877 	 /m/041sbd 	 Architectural Association School of Architecture	 independent school of architecture in the UK 
6878 	 /m/041td_ 	 Topsy-Turvy	 1999 film by Mike Leigh 
6879 	 /m/041wm 	 Julius Caesar	 Roman politician and general 
6880 	 /m/041xl 	 J. G. Ballard	 British writer 
6881 	 /m/041xyk 	 Real Salt Lake	 association football club 
6882 	 /m/041y2 	 journalism	 investigation and reporting of events, issues and trends to a broad audience 
6883 	 /m/04205z 	 Emily Blunt	 English actress 
6884 	 /m/0420td 	 Suwon Samsung Bluewings	 professional association football club based in Suwon, South Korea 
6885 	 /m/0420y 	 Jean-Jacques Rousseau	 Genevan philosopher 
6886 	 /m/0421ng 	 Bullets Over Broadway	 1994 crime film 
6887 	 /m/0421st 	 Shelley Duvall	 American actress 
6888 	 /m/0421v9q 	 The Proposal	 2009 film by Anne Fletcher 
6889 	 /m/04228s 	 road movie	 film genre 
6890 	 /m/0422v0 	 Primal Fear	 1996 American neo-noir crime and thriller film 
6891 	 /m/0424m 	 James Madison	 4th President of the United States (1809–1817) 
6892 	 /m/0424mc 	 experimental film	 cinematic works that are experimental form or content 
6893 	 /m/04255q 	 Busan IPark	 professional association football club based in Busan, South Korea 
6894 	 /m/04257b 	 Seongnam FC	 professional association football club based in Seongnam, South Korea 
6895 	 /m/04258w 	 Samuel Fuller	 American screenwriter, actor and film director 
6896 	 /m/0425_d 	 Sangju Sangmu FC	 association football club 
6897 	 /m/0425c5 	 FC Seoul	 professional association football club based in Seoul, South Korea 
6898 	 /m/0425gc 	 Pohang Steelers	 South Korean football club 
6899 	 /m/0425hg 	 Jeju United FC	 football club in South Korea 
6900 	 /m/0425j7 	 Ulsan Hyundai FC	 professional association football club based in Ulsan, South Korea 
6901 	 /m/0425kh 	 Incheon United FC	 professional association football club based in Incheon, South Korea 
6902 	 /m/0425yz 	 Jeonbuk Hyundai Motors	 association football club 
6903 	 /m/04264n 	 Keenan Wynn	 American actor 
6904 	 /m/0427y 	 Jerry Lewis	 American comedian, actor, film producer, writer and film director 
6905 	 /m/0428bc 	 Ben Gazzara	 American actor 
6906 	 /m/042d1 	 James Monroe	 American politician, 5th President of the United States (in office from 1817 to 1825) 
6907 	 /m/042f1 	 James K. Polk	 American politician, 11th President of the United States (in office from 1845 to 1849) 
6908 	 /m/042fgh 	 Superman II	 1980 superhero film 
6909 	 /m/042fk 	 James Buchanan	 American politician, 15th President of the United States (in office from 1857 to 1861) 
6910 	 /m/042g7t 	 Atlantic Time Zone	 timezone (UTC−04:00) 
6911 	 /m/042g97 	 Superman III	 1983 superhero action comedy film directed by Richard Lester 
6912 	 /m/042gr4 	 Masako Nozawa	 Japanese actress and voice actress 
6913 	 /m/042kbj 	 Sam Wood	 Director, producer, actor 
6914 	 /m/042kg 	 Jimmy Carter	 American politician, 39th President of the United States (in office from 1977 to 1981) 
6915 	 /m/042l3v 	 Herbert Ross	 American film director 
6916 	 /m/042l8n 	 FC Sion	 association football team in Switzerland 
6917 	 /m/042ly5 	 James Marsden	 American actor 
6918 	 /m/042q3 	 Johann Wolfgang von Goethe	 German writer, artist, and politician 
6919 	 /m/042rlf 	 Al-Hilal FC	 Saudi Arabian association football club based in Riyadh 
6920 	 /m/042rnl 	 Jiang Wen	 Chinese actor, film director 
6921 	 /m/042s9 	 jainism	 ancient religion that originated in India 
6922 	 /m/042tq 	 Jackson	 city located in the U.S. state of Michigan 
6923 	 /m/042v2 	 John Irving	 American novelist and screenwriter 
6924 	 /m/042v_gx 	 acoustic guitar	 type of guitar 
6925 	 /m/042xh 	 J. K. Rowling	 British novelist, author of the Harry Potter series 
6926 	 /m/042xrr 	 Anthony Anderson	 American actor 
6927 	 /m/042y1c 	 Amadeus	 1984 film by Miloš Forman 
6928 	 /m/042z45 	 Southern Lord Records	 None 
6929 	 /m/042z_g 	 Tony Goldwyn	 American actor and director 
6930 	 /m/042zrm 	 Friday Night Lights	 2004 film by Peter Berg 
6931 	 /m/04306rv 	 German	 West Germanic language 
6932 	 /m/0430_ 	 Jerusalem	 ancient city in the Judean Mountains 
6933 	 /m/0431v3 	 Weeds	 American television series 
6934 	 /m/04328m 	 Nirupa Roy	 Indian actress 
6935 	 /m/0432_5 	 Infernal Affairs II	 2003 Hong Kong crime-thriller film 
6936 	 /m/0432b 	 James Cagney	 actor, dancer 
6937 	 /m/0432cd 	 Brian Dennehy	 American actor 
6938 	 /m/0432mrk 	 Native Americans	 pre-Columbian inhabitants of North and South America and their descendants 
6939 	 /m/04344j 	 Centre College	 college in Kentucky 
6940 	 /m/04353 	 Jonathan Demme	 American filmmaker, producer and screenwriter 
6941 	 /m/0435vm 	 The Island	 2005 American science fiction action thriller film 
6942 	 /m/0436f4 	 Vincent Pastore	 American actor 
6943 	 /m/0436kgz 	 Antonio Banderas	 Spanish actor 
6944 	 /m/0436yk 	 Dragon Ball Z: Dead Zone	 1989 film by Daisuke Nishio 
6945 	 /m/0436zq 	 William Demarest	 actor 
6946 	 /m/043870 	 Early modern France	 None 
6947 	 /m/0438f 	 James Madison University	 university 
6948 	 /m/0438pz 	 Dick Wolf	 producer from the United States 
6949 	 /m/04399 	 Society of Jesus	 christian male religious congregation of the Roman Catholic Church 
6950 	 /m/043c4j 	 Matt Chamberlain	 musician 
6951 	 /m/043cl9 	 Jeetendra	 actor 
6952 	 /m/043d4 	 Joseph Haydn	 Austrian composer 
6953 	 /m/043djx 	 31st United States Congress	 None 
6954 	 /m/043fz4 	 Natsume	 Japanese video game company 
6955 	 /m/043g7l 	 Sony Music Entertainment	 American record label 
6956 	 /m/043gj 	 John Wayne	 American film actor 
6957 	 /m/043h78 	 Scooby-Doo	 comedy mystery adventure film 
6958 	 /m/043hg 	 John Sayles	 American film director 
6959 	 /m/043js 	 James Spader	 American actor 
6960 	 /m/043kzcr 	 Jessica Chastain	 American actress 
6961 	 /m/043ljr 	 Rounder Records	 American record label 
6962 	 /m/043mk4y 	 Recount	 None 
6963 	 /m/043n0v_ 	 Ip Man	 2008 Hong Kong film 
6964 	 /m/043n1r5 	 Yentl	 1983 romantic musical drama film 
6965 	 /m/043p28m 	 AWA All-Star Wrestling	 None 
6966 	 /m/043q2z 	 Harvard Divinity School	 seminary 
6967 	 /m/043q4d 	 contestant	 someone who takes part in a competition or a contest 
6968 	 /m/043q6n_ 	 Neal H. Moritz	 American film producer 
6969 	 /m/043qqt5 	 The Smurfs	 television series 
6970 	 /m/043s3 	 John Locke	 English philosopher and physician 
6971 	 /m/043sct5 	 The Good, the Bad, the Weird	 2008 South Korean film 
6972 	 /m/043t1s 	 R.C. Lens	 French association football club 
6973 	 /m/043t8t 	 The Life Aquatic with Steve Zissou	 2004 film by Wes Anderson 
6974 	 /m/043tg 	 Jacques Lacan	 French psychoanalyst and psychiatrist 
6975 	 /m/043ttv 	 Sequoia Capital	 None 
6976 	 /m/043tvp3 	 Terminator Salvation	 2009 US science fiction action film 
6977 	 /m/043tz0c 	 The Informant!	 2009 film by Steven Soderbergh 
6978 	 /m/043tz8m 	 Oklahoma State Cowboys football	 None 
6979 	 /m/043vc 	 Jacksonville Jaguars	 National Football League franchise in Jacksonville, Florida 
6980 	 /m/043y95 	 Guinea national football team	 national association football team 
6981 	 /m/043yj 	 Jackson	 capital of the state of Mississippi, United States; county seat of Hinds County, MIssissippi 
6982 	 /m/043z0 	 Jackson County	 county in Michigan, US 
6983 	 /m/043zg 	 Jennifer Lopez	 American singer and actress 
6984 	 /m/04411 	 John Dewey	 American philosopher, psychologist, and educational reformer 
6985 	 /m/0443c 	 Jackie Robinson	 American baseball player 
6986 	 /m/0443v1 	 The X-Files	 1998 film by Rob Bowman 
6987 	 /m/0443xn 	 Mitch Pileggi	 Italian–American actor 
6988 	 /m/0443y3 	 Marcia Cross	 American actress 
6989 	 /m/0444x 	 Jack Kemp	 American football player, quarterback, U.S. Congressman 
6990 	 /m/0448r 	 John Milton	 English epic poet 
6991 	 /m/0449sw 	 Togo national football team	 national association football team 
